No checkpoint found, starting fresh training
Epoch [1/200], Train Loss: 0.5708, Train Accuracy: 0.7352, Val Loss: 0.4979, Val Accuracy: 0.7710, Time Taken: 424.43s
Epoch [2/200], Train Loss: 0.4725, Train Accuracy: 0.7854, Val Loss: 0.4621, Val Accuracy: 0.7899, Time Taken: 418.29s
Epoch [3/200], Train Loss: 0.4646, Train Accuracy: 0.7770, Val Loss: 0.4630, Val Accuracy: 0.7920, Time Taken: 422.26s
Epoch [4/200], Train Loss: 0.4677, Train Accuracy: 0.7780, Val Loss: 0.4691, Val Accuracy: 0.7941, Time Taken: 423.34s
Epoch [5/200], Train Loss: 0.4613, Train Accuracy: 0.7820, Val Loss: 0.4603, Val Accuracy: 0.7983, Time Taken: 420.34s
Epoch [6/200], Train Loss: 0.4664, Train Accuracy: 0.7885, Val Loss: 0.4398, Val Accuracy: 0.8004, Time Taken: 423.66s
Epoch [7/200], Train Loss: 0.4730, Train Accuracy: 0.7788, Val Loss: 0.4685, Val Accuracy: 0.7962, Time Taken: 419.03s
Epoch [8/200], Train Loss: 0.4827, Train Accuracy: 0.7775, Val Loss: 0.4616, Val Accuracy: 0.7857, Time Taken: 424.34s
Epoch [9/200], Train Loss: 0.4672, Train Accuracy: 0.7836, Val Loss: 0.4703, Val Accuracy: 0.7836, Time Taken: 420.61s
Epoch [10/200], Train Loss: 0.4662, Train Accuracy: 0.7788, Val Loss: 0.4869, Val Accuracy: 0.7689, Time Taken: 417.79s
Epoch [11/200], Train Loss: 0.4718, Train Accuracy: 0.7841, Val Loss: 0.4726, Val Accuracy: 0.7752, Time Taken: 419.81s
Epoch [12/200], Train Loss: 0.4657, Train Accuracy: 0.7794, Val Loss: 0.4867, Val Accuracy: 0.7689, Time Taken: 423.29s
Epoch [13/200], Train Loss: 0.4651, Train Accuracy: 0.7883, Val Loss: 0.4781, Val Accuracy: 0.7752, Time Taken: 416.79s
Epoch [14/200], Train Loss: 0.4726, Train Accuracy: 0.7794, Val Loss: 0.4860, Val Accuracy: 0.7773, Time Taken: 416.64s
Epoch [15/200], Train Loss: 0.4710, Train Accuracy: 0.7775, Val Loss: 0.5028, Val Accuracy: 0.7752, Time Taken: 418.19s
Epoch [16/200], Train Loss: 0.4633, Train Accuracy: 0.7820, Val Loss: 0.4936, Val Accuracy: 0.7668, Time Taken: 420.57s
Epoch [17/200], Train Loss: 0.4604, Train Accuracy: 0.7778, Val Loss: 0.4425, Val Accuracy: 0.8046, Time Taken: 422.97s
Epoch [18/200], Train Loss: 0.4639, Train Accuracy: 0.7794, Val Loss: 0.4717, Val Accuracy: 0.7794, Time Taken: 415.76s
Epoch [19/200], Train Loss: 0.4655, Train Accuracy: 0.7857, Val Loss: 0.4829, Val Accuracy: 0.7731, Time Taken: 420.72s
Epoch [20/200], Train Loss: 0.4814, Train Accuracy: 0.7775, Val Loss: 0.4508, Val Accuracy: 0.8067, Time Taken: 416.68s
Epoch [21/200], Train Loss: 0.4594, Train Accuracy: 0.7935, Val Loss: 0.4750, Val Accuracy: 0.7710, Time Taken: 418.90s
Epoch [22/200], Train Loss: 0.4589, Train Accuracy: 0.7849, Val Loss: 0.4669, Val Accuracy: 0.8067, Time Taken: 416.97s
Epoch [23/200], Train Loss: 0.4582, Train Accuracy: 0.7851, Val Loss: 0.4593, Val Accuracy: 0.7983, Time Taken: 425.18s
Epoch [24/200], Train Loss: 0.4763, Train Accuracy: 0.7691, Val Loss: 0.4936, Val Accuracy: 0.7689, Time Taken: 418.15s
Epoch [25/200], Train Loss: 0.4656, Train Accuracy: 0.7878, Val Loss: 0.4724, Val Accuracy: 0.7815, Time Taken: 415.46s
Epoch [26/200], Train Loss: 0.4685, Train Accuracy: 0.7849, Val Loss: 0.4804, Val Accuracy: 0.7773, Time Taken: 432.06s
Epoch [27/200], Train Loss: 0.4648, Train Accuracy: 0.7843, Val Loss: 0.4759, Val Accuracy: 0.7920, Time Taken: 413.79s
Epoch [28/200], Train Loss: 0.4615, Train Accuracy: 0.7851, Val Loss: 0.4882, Val Accuracy: 0.7815, Time Taken: 415.06s
Epoch [29/200], Train Loss: 0.4638, Train Accuracy: 0.7804, Val Loss: 0.4974, Val Accuracy: 0.7689, Time Taken: 413.79s
Epoch [30/200], Train Loss: 0.4627, Train Accuracy: 0.7833, Val Loss: 0.4689, Val Accuracy: 0.7920, Time Taken: 413.96s
