Epoch [1/200], Train Loss: 0.6514, Train Accuracy: 0.7258, Val Loss: 0.3745, Val Accuracy: 0.8655, Time Taken: 421.10s
Epoch [2/200], Train Loss: 0.3086, Train Accuracy: 0.8737, Val Loss: 0.2567, Val Accuracy: 0.8887, Time Taken: 405.89s
Epoch [3/200], Train Loss: 0.2670, Train Accuracy: 0.8871, Val Loss: 0.2398, Val Accuracy: 0.9055, Time Taken: 406.60s
Epoch [4/200], Train Loss: 0.2109, Train Accuracy: 0.9159, Val Loss: 0.1982, Val Accuracy: 0.9139, Time Taken: 408.15s
Epoch [5/200], Train Loss: 0.1889, Train Accuracy: 0.9217, Val Loss: 0.1784, Val Accuracy: 0.9265, Time Taken: 404.55s
Epoch [6/200], Train Loss: 0.1933, Train Accuracy: 0.9257, Val Loss: 0.1644, Val Accuracy: 0.9412, Time Taken: 412.05s
Epoch [7/200], Train Loss: 0.1628, Train Accuracy: 0.9396, Val Loss: 0.1656, Val Accuracy: 0.9349, Time Taken: 409.19s
Epoch [8/200], Train Loss: 0.1655, Train Accuracy: 0.9383, Val Loss: 0.1742, Val Accuracy: 0.9391, Time Taken: 405.60s
Epoch [9/200], Train Loss: 0.1549, Train Accuracy: 0.9412, Val Loss: 0.1607, Val Accuracy: 0.9433, Time Taken: 407.03s
Epoch [10/200], Train Loss: 0.1541, Train Accuracy: 0.9438, Val Loss: 0.1666, Val Accuracy: 0.9349, Time Taken: 409.56s
Epoch [11/200], Train Loss: 0.1413, Train Accuracy: 0.9472, Val Loss: 0.1853, Val Accuracy: 0.9286, Time Taken: 406.55s
Epoch [12/200], Train Loss: 0.1534, Train Accuracy: 0.9462, Val Loss: 0.1715, Val Accuracy: 0.9370, Time Taken: 407.84s
Epoch [13/200], Train Loss: 0.1309, Train Accuracy: 0.9525, Val Loss: 0.1400, Val Accuracy: 0.9475, Time Taken: 418.78s
Epoch [14/200], Train Loss: 0.1250, Train Accuracy: 0.9538, Val Loss: 0.1483, Val Accuracy: 0.9412, Time Taken: 407.11s
Epoch [15/200], Train Loss: 0.1190, Train Accuracy: 0.9530, Val Loss: 0.1875, Val Accuracy: 0.9349, Time Taken: 416.05s
Epoch [16/200], Train Loss: 0.1178, Train Accuracy: 0.9551, Val Loss: 0.1683, Val Accuracy: 0.9349, Time Taken: 408.99s
Epoch [17/200], Train Loss: 0.1205, Train Accuracy: 0.9601, Val Loss: 0.1608, Val Accuracy: 0.9412, Time Taken: 444.13s
Epoch [18/200], Train Loss: 0.1153, Train Accuracy: 0.9564, Val Loss: 0.1370, Val Accuracy: 0.9370, Time Taken: 416.06s
Epoch [19/200], Train Loss: 0.1079, Train Accuracy: 0.9616, Val Loss: 0.1398, Val Accuracy: 0.9475, Time Taken: 414.78s
Epoch [20/200], Train Loss: 0.1119, Train Accuracy: 0.9590, Val Loss: 0.1319, Val Accuracy: 0.9517, Time Taken: 409.87s
Epoch [21/200], Train Loss: 0.1052, Train Accuracy: 0.9603, Val Loss: 0.1499, Val Accuracy: 0.9433, Time Taken: 416.86s
Epoch [22/200], Train Loss: 0.1068, Train Accuracy: 0.9598, Val Loss: 0.1352, Val Accuracy: 0.9517, Time Taken: 417.89s
Epoch [23/200], Train Loss: 0.1016, Train Accuracy: 0.9622, Val Loss: 0.1302, Val Accuracy: 0.9475, Time Taken: 415.93s
Epoch [24/200], Train Loss: 0.0948, Train Accuracy: 0.9635, Val Loss: 0.1192, Val Accuracy: 0.9601, Time Taken: 414.77s
Epoch [25/200], Train Loss: 0.0862, Train Accuracy: 0.9698, Val Loss: 0.1170, Val Accuracy: 0.9454, Time Taken: 417.68s
Epoch [26/200], Train Loss: 0.1056, Train Accuracy: 0.9614, Val Loss: 0.1512, Val Accuracy: 0.9496, Time Taken: 414.40s
Epoch [27/200], Train Loss: 0.0857, Train Accuracy: 0.9656, Val Loss: 0.1343, Val Accuracy: 0.9601, Time Taken: 418.79s
Epoch [28/200], Train Loss: 0.0910, Train Accuracy: 0.9659, Val Loss: 0.1552, Val Accuracy: 0.9454, Time Taken: 414.71s
Epoch [29/200], Train Loss: 0.1022, Train Accuracy: 0.9624, Val Loss: 0.1597, Val Accuracy: 0.9349, Time Taken: 417.87s
