Epoch [1/200], Train Loss: 0.6878, Train Accuracy: 0.7547, Val Loss: 0.3977, Val Accuracy: 0.8424, Time Taken: 268.95s
Epoch [2/200], Train Loss: 0.3303, Train Accuracy: 0.8813, Val Loss: 0.2660, Val Accuracy: 0.9013, Time Taken: 271.34s
Epoch [3/200], Train Loss: 0.2654, Train Accuracy: 0.8997, Val Loss: 0.2340, Val Accuracy: 0.9076, Time Taken: 268.66s
Epoch [4/200], Train Loss: 0.2165, Train Accuracy: 0.9180, Val Loss: 0.1908, Val Accuracy: 0.9307, Time Taken: 277.21s
Epoch [5/200], Train Loss: 0.1969, Train Accuracy: 0.9296, Val Loss: 0.1782, Val Accuracy: 0.9349, Time Taken: 270.04s
Epoch [6/200], Train Loss: 0.1863, Train Accuracy: 0.9317, Val Loss: 0.1901, Val Accuracy: 0.9307, Time Taken: 263.23s
Epoch [7/200], Train Loss: 0.1796, Train Accuracy: 0.9346, Val Loss: 0.1964, Val Accuracy: 0.9139, Time Taken: 264.89s
Epoch [8/200], Train Loss: 0.1646, Train Accuracy: 0.9385, Val Loss: 0.1885, Val Accuracy: 0.9244, Time Taken: 266.02s
Epoch [9/200], Train Loss: 0.1579, Train Accuracy: 0.9419, Val Loss: 0.1760, Val Accuracy: 0.9244, Time Taken: 268.40s
Epoch [10/200], Train Loss: 0.1494, Train Accuracy: 0.9475, Val Loss: 0.1411, Val Accuracy: 0.9475, Time Taken: 266.77s
Epoch [11/200], Train Loss: 0.1446, Train Accuracy: 0.9477, Val Loss: 0.1389, Val Accuracy: 0.9475, Time Taken: 278.56s
Epoch [12/200], Train Loss: 0.1263, Train Accuracy: 0.9556, Val Loss: 0.1507, Val Accuracy: 0.9433, Time Taken: 266.54s
Epoch [13/200], Train Loss: 0.1339, Train Accuracy: 0.9496, Val Loss: 0.1458, Val Accuracy: 0.9496, Time Taken: 266.20s
Epoch [14/200], Train Loss: 0.1208, Train Accuracy: 0.9559, Val Loss: 0.1413, Val Accuracy: 0.9475, Time Taken: 267.11s
Epoch [15/200], Train Loss: 0.1233, Train Accuracy: 0.9522, Val Loss: 0.1365, Val Accuracy: 0.9454, Time Taken: 267.77s
Epoch [16/200], Train Loss: 0.1267, Train Accuracy: 0.9561, Val Loss: 0.1389, Val Accuracy: 0.9475, Time Taken: 269.44s
Epoch [17/200], Train Loss: 0.1132, Train Accuracy: 0.9585, Val Loss: 0.1122, Val Accuracy: 0.9580, Time Taken: 265.95s
Epoch [18/200], Train Loss: 0.1118, Train Accuracy: 0.9616, Val Loss: 0.1321, Val Accuracy: 0.9580, Time Taken: 264.90s
Epoch [19/200], Train Loss: 0.0986, Train Accuracy: 0.9653, Val Loss: 0.1356, Val Accuracy: 0.9538, Time Taken: 265.98s
Epoch [20/200], Train Loss: 0.1023, Train Accuracy: 0.9632, Val Loss: 0.1465, Val Accuracy: 0.9475, Time Taken: 273.01s
Epoch [21/200], Train Loss: 0.0917, Train Accuracy: 0.9635, Val Loss: 0.1428, Val Accuracy: 0.9412, Time Taken: 271.19s
Epoch [22/200], Train Loss: 0.0964, Train Accuracy: 0.9638, Val Loss: 0.1199, Val Accuracy: 0.9538, Time Taken: 266.90s
Epoch [23/200], Train Loss: 0.0896, Train Accuracy: 0.9701, Val Loss: 0.1254, Val Accuracy: 0.9496, Time Taken: 266.42s
Epoch [24/200], Train Loss: 0.0898, Train Accuracy: 0.9669, Val Loss: 0.1347, Val Accuracy: 0.9454, Time Taken: 266.76s
Epoch [25/200], Train Loss: 0.0824, Train Accuracy: 0.9716, Val Loss: 0.0990, Val Accuracy: 0.9622, Time Taken: 268.32s
Epoch [26/200], Train Loss: 0.0855, Train Accuracy: 0.9695, Val Loss: 0.1204, Val Accuracy: 0.9580, Time Taken: 271.91s
Epoch [27/200], Train Loss: 0.0857, Train Accuracy: 0.9685, Val Loss: 0.1501, Val Accuracy: 0.9412, Time Taken: 266.89s
Epoch [28/200], Train Loss: 0.0822, Train Accuracy: 0.9719, Val Loss: 0.1241, Val Accuracy: 0.9559, Time Taken: 269.28s
Epoch [29/200], Train Loss: 0.0785, Train Accuracy: 0.9695, Val Loss: 0.1268, Val Accuracy: 0.9601, Time Taken: 267.53s
Epoch [30/200], Train Loss: 0.0807, Train Accuracy: 0.9714, Val Loss: 0.1412, Val Accuracy: 0.9559, Time Taken: 266.36s
Epoch [31/200], Train Loss: 0.0859, Train Accuracy: 0.9685, Val Loss: 0.0979, Val Accuracy: 0.9643, Time Taken: 279.19s
Epoch [32/200], Train Loss: 0.0804, Train Accuracy: 0.9722, Val Loss: 0.1410, Val Accuracy: 0.9454, Time Taken: 270.41s
